,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file,map,round,seconds,att_side,vic_side,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,winner_team,winner_side,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank,rank_medio
0,17,17,727,17,003201766426880770095_1255641334.dem,de_cache,1,149.0092,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 1,CounterTerrorist,-366.5388,1906604.0,235.3199,1957287.0,PISTOL_ROUND,3650,4100,10.0,C
1,19,19,729,19,003201766426880770095_1255641334.dem,de_cache,1,149.4156,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 1,CounterTerrorist,-366.5388,1906604.0,50.73038,1902141.0,PISTOL_ROUND,3650,4100,10.0,C
2,48,48,758,48,003201766426880770095_1255641334.dem,de_cache,3,264.8149,CounterTerrorist,Terrorist,0,False,,Head,Deagle,Pistol,Team 1,CounterTerrorist,543.2942,1629427.0,706.5915,800.6833,ECO,17550,5200,10.0,C
3,73,73,783,73,003201766426880770095_1255641334.dem,de_cache,4,322.8741,Terrorist,CounterTerrorist,25,False,,Head,Scout,Sniper,Team 2,Terrorist,1053431.0,225.4297,-271.1249,374.1385,NORMAL,16250,18050,10.0,C
4,98,98,808,98,003201766426880770095_1255641334.dem,de_cache,4,382.9655,Terrorist,CounterTerrorist,0,True,B,Generic,Knife,Equipment,Team 2,Terrorist,-1335297.0,677.0313,-1353.0,645.0,NORMAL,16250,18050,10.0,C
5,100,100,810,100,003201766426880770095_1255641334.dem,de_cache,5,415.9189,CounterTerrorist,Terrorist,1,False,,Chest,AWP,Sniper,Team 1,CounterTerrorist,8.379316000000001,-601.9712,1065227.0,-1151635.0,NORMAL,24150,21150,10.0,C
6,112,112,822,112,003201766426880770095_1255641334.dem,de_cache,6,484.3268,Terrorist,CounterTerrorist,25,False,,Head,Scout,Sniper,Team 2,Terrorist,960.5989,-405.2744,1561.1029999999998,496.4414,ECO,27950,8100,10.0,C
7,114,114,824,114,003201766426880770095_1255641334.dem,de_cache,6,496739.0,CounterTerrorist,Terrorist,0,False,,Head,M4A4,Rifle,Team 2,Terrorist,-679.9836,-865.0513,410.7473,-704.9071,ECO,27950,8100,10.0,C
8,177,177,887,177,003201766426880770095_1255641334.dem,de_cache,8,679.3269,CounterTerrorist,Terrorist,20,False,,Head,Scout,Sniper,Team 1,CounterTerrorist,75.08208,2001006.0,788.9922,2261969.0,SEMI_ECO,10700,24100,10.0,C
9,181,181,891,181,003201766426880770095_1255641334.dem,de_cache,8,683.3289,CounterTerrorist,Terrorist,25,False,,Head,Scout,Sniper,Team 1,CounterTerrorist,453.9688,1805403.0,624.8268,1246272.0,SEMI_ECO,10700,24100,10.0,C
10,182,182,892,182,003201766426880770095_1255641334.dem,de_cache,8,688.8002,CounterTerrorist,Terrorist,15,False,,Head,AK47,Rifle,Team 1,CounterTerrorist,567.8998,1053299.0,838.3284,637.7424,SEMI_ECO,10700,24100,10.0,C
11,217,217,927,217,003201766426880770095_1255641334.dem,de_cache,9,786.9725,Terrorist,CounterTerrorist,1,False,,Chest,AWP,Sniper,Team 2,Terrorist,556869.0,-728.4151,-502.8475,-696.2597,NORMAL,23050,16700,10.0,C
