,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file,map,round,seconds,att_side,vic_side,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,winner_team,winner_side,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank,rank_medio
0,8,616,1326,8,003201817199836659927_0341783733.dem,de_inferno,1,123.8529,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 1,CounterTerrorist,919.4083,-121.2623,898.0767,229.1858,PISTOL_ROUND,3650,3800,12.0,B
1,9,617,1327,9,003201817199836659927_0341783733.dem,de_inferno,1,124.0717,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 1,CounterTerrorist,774.3286,1868.401,699.5409,2186.1020000000003,PISTOL_ROUND,3650,3800,12.0,B
2,12,620,1330,12,003201817199836659927_0341783733.dem,de_inferno,1,125.197,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 1,CounterTerrorist,773.8762,1872.09,640.5509,2125.969,PISTOL_ROUND,3650,3800,12.0,B
3,13,621,1331,13,003201817199836659927_0341783733.dem,de_inferno,1,126.1036,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 1,CounterTerrorist,835.1984,1868.177,920.6725,1953.837,PISTOL_ROUND,3650,3800,12.0,B
4,84,692,1402,84,003201817199836659927_0341783733.dem,de_inferno,4,312.4143,CounterTerrorist,Terrorist,1,False,,Chest,AWP,Sniper,Team 1,CounterTerrorist,912.2096,0.6350915,-389.8845,-184.7399,NORMAL,29350,23800,12.0,B
5,87,695,1405,87,003201817199836659927_0341783733.dem,de_inferno,4,315.5091,CounterTerrorist,Terrorist,1,False,,Chest,AWP,Sniper,Team 1,CounterTerrorist,861.5204,384.5186,157.3329,722.8134,NORMAL,29350,23800,12.0,B
6,89,697,1407,89,003201817199836659927_0341783733.dem,de_inferno,4,349.2701,Terrorist,CounterTerrorist,16,False,,Head,AK47,Rifle,Team 1,CounterTerrorist,-194.8065,270.4522,-370.6924,258.6589,NORMAL,29350,23800,12.0,B
7,93,701,1411,93,003201817199836659927_0341783733.dem,de_inferno,4,377.7481,Terrorist,CounterTerrorist,16,False,,Head,AK47,Rifle,Team 1,CounterTerrorist,-208.2396,264.9246,-352.7305,275.0614,NORMAL,29350,23800,12.0,B
8,111,719,1429,111,003201817199836659927_0341783733.dem,de_inferno,5,434.0789,CounterTerrorist,Terrorist,0,False,,Chest,AWP,Sniper,Team 1,CounterTerrorist,1515.497,1053.315,1279.247,467.2055,FORCE_BUY,29950,16650,12.0,B
9,116,724,1434,116,003201817199836659927_0341783733.dem,de_inferno,5,444.4261,CounterTerrorist,Terrorist,1,False,,RightArm,AWP,Sniper,Team 1,CounterTerrorist,1206.923,-257.4073,1439.891,-343.8867,FORCE_BUY,29950,16650,12.0,B
10,120,728,1438,120,003201817199836659927_0341783733.dem,de_inferno,5,455.0233,CounterTerrorist,Terrorist,1,False,,Chest,AWP,Sniper,Team 1,CounterTerrorist,2127.344,-201.9133,2096.958,-443.8632,FORCE_BUY,29950,16650,12.0,B
11,139,747,1457,139,003201817199836659927_0341783733.dem,de_inferno,6,503.7892,CounterTerrorist,Terrorist,1,False,,Stomach,AWP,Sniper,Team 1,CounterTerrorist,871.1988,-649.5372,790.8521,676.0205,FORCE_BUY,24500,11600,12.0,B
12,159,767,1477,159,003201817199836659927_0341783733.dem,de_inferno,7,560.9328,CounterTerrorist,Terrorist,1,False,,Stomach,AWP,Sniper,Team 1,CounterTerrorist,1196.329,16.95581,919.3433,-64.40273,NORMAL,25550,21100,12.0,B
