,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file,map,round,seconds,att_side,vic_side,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,winner_team,winner_side,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank,rank_medio
0,0,2904,4269,0,003218553373129179487_1555113029.dem,de_mirage,1,115.953,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 2,Terrorist,-359.5016,389.7257,-468.7209,529.1569,PISTOL_ROUND,4250,4200,15.0,A
1,3,2907,4272,3,003218553373129179487_1555113029.dem,de_mirage,1,127.8608,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 2,Terrorist,-2064.029,793.1069,-1575.501,685.9157,PISTOL_ROUND,4250,4200,15.0,A
2,4,2908,4273,4,003218553373129179487_1555113029.dem,de_mirage,1,127.9858,Terrorist,CounterTerrorist,0,False,,Head,USP,Pistol,Team 2,Terrorist,-1090.852,677.1235,-2063.848,793.9529,PISTOL_ROUND,4250,4200,15.0,A
3,8,2912,4277,8,003218553373129179487_1555113029.dem,de_mirage,1,138.3935,Terrorist,CounterTerrorist,0,False,,Head,USP,Pistol,Team 2,Terrorist,-728.0980000000001,458.2229,-1008.219,347.5916,PISTOL_ROUND,4250,4200,15.0,A
4,10,2914,4279,10,003218553373129179487_1555113029.dem,de_mirage,1,139.2999,CounterTerrorist,Terrorist,0,False,,Head,USP,Pistol,Team 2,Terrorist,-1001.983,107.0313,-2042.526,820.908,PISTOL_ROUND,4250,4200,15.0,A
5,23,2927,4292,23,003218553373129179487_1555113029.dem,de_mirage,2,234.0938,Terrorist,CounterTerrorist,0,False,,Head,Scout,Sniper,Team 2,Terrorist,-982.579,237.1661,-2384.645,652.6794,ECO,5000,16250,15.0,A
6,34,2938,4303,34,003218553373129179487_1555113029.dem,de_mirage,2,248.5957,Terrorist,CounterTerrorist,0,True,B,Head,Scout,Sniper,Team 2,Terrorist,-2362.397,788.659,-1126.585,672.9865,ECO,5000,16250,15.0,A
7,46,2950,4315,46,003218553373129179487_1555113029.dem,de_mirage,3,292.4453,Terrorist,CounterTerrorist,0,False,,Head,Scout,Sniper,Team 2,Terrorist,147.5501,-2359.891,-394.8344,-1530.031,ECO,4250,19350,15.0,A
8,47,2951,4316,47,003218553373129179487_1555113029.dem,de_mirage,3,293.7892,CounterTerrorist,Terrorist,5,False,,Head,Deagle,Pistol,Team 2,Terrorist,-589.5233,-1584.517,106.4073,-2280.031,ECO,4250,19350,15.0,A
9,48,2952,4317,48,003218553373129179487_1555113029.dem,de_mirage,3,294.7581,Terrorist,CounterTerrorist,0,False,,Head,Scout,Sniper,Team 2,Terrorist,173.4157,-2328.087,-592.4618,-1586.8870000000002,ECO,4250,19350,15.0,A
10,62,2966,4331,62,003218553373129179487_1555113029.dem,de_mirage,4,366.8615,Terrorist,CounterTerrorist,19,False,,Head,Scout,Sniper,Team 1,CounterTerrorist,-1050.379,783.7448,-2384.617,652.6741,NORMAL,16200,22700,15.0,A
